id,text,holistic_redescription,actor_analysis,people_explanation,people_score,elite_explanation,elite_score,antagonism_explanation,antagonism_score,error
1,"Die Menschen in unserem Land haben es satt, von einer abgehobenen Elite in Berlin bevormundet zu werden. Wir müssen endlich wieder auf das Volk hören!",,,,,,,,,JSON Parse Error
2,"Heute im Ausschuss über die Reform des Vergaberechts diskutiert. Ein technisches, aber wichtiges Thema für mehr Effizienz in der Verwaltung.","The post describes a technical legislative discussion taking place in a committee regarding the reform of public procurement law. The rhetorical structure is neutral and informative, presenting the topic as important for administrative efficiency without invoking any moral or political framing. There is no reference to a broader public, political elite, or any antagonistic dynamic.","1. 'Der Ausschuss' — a named institutional body (committee), not a generalized class. Confidence: HIGH. 2. 'Die Reform des Vergaberechts' — a technical policy matter, not a person or group. 3. No mention of 'The People' or 'The Elite' is present. No generalized actors are invoked.",No broad ordinary majority is invoked. The post is purely descriptive of a committee meeting and does not frame any group as representing the general public or ordinary citizens.,0.0,No powerful group or class is targeted or criticized. The post is neutral and descriptive of a legislative process without any ideological or antagonistic undertone.,0.0,No opposition between any groups is constructed. The post simply reports on a technical governmental procedure with no implied conflict or moral judgment.,0.0,
3,"Die sogenannten Experten in ihren Elfenbeintürmen haben schon wieder versagt. Zeit, dass die einfachen Bürger wieder das Sagen haben.","The post constructs a populist narrative by contrasting powerless 'simple citizens' with detached 'experts' entrenched in institutions ('Elfenbeintürme'). The rhetorical structure positions the experts as failures who are out of touch with ordinary people, calling for a reversal of power dynamics ('die einfachen Bürger wieder das Sagen haben'). The moral charge is moderate — the experts are portrayed as ineffective and disconnected rather than malicious or conspiratorial.","1. 'Die sogenannten Experten' — a generalized class representing a powerful intellectual or institutional elite. Confidence: HIGH. Alternative interpretation: Could be seen as a specific group of advisors or academics, but context implies a broader critique of expert institutions. 2. 'Die einfachen Bürger' — a generalized class representing the ordinary majority. Confidence: HIGH. Alternative interpretation: Could refer to a specific subset of citizens, but here used inclusively to denote the everyday public.","'Die einfachen Bürger' is invoked as a representative of the ordinary majority, framed as having agency and rightful influence ('das Sagen haben'). While not explicitly labeled 'The People', the term 'einfache Bürger' (simple citizens) implies a broad, universal ordinary citizenry rather than a subgroup with narrow interests. The People are implicitly presented as capable and deserving of power.",2.0,"'Die sogenannten Experten' are targeted as a powerful outgroup, depicted as removed from real-world concerns ('in ihren Elfenbeintürmen') and ineffective ('haben schon wieder versagt'). The criticism is directed at the intellectual or institutional elite as a whole, not a single individual or specific policy. The framing suggests they lack legitimacy due to disconnection from the public.",-2.0,"The post creates a clear divide between 'die einfachen Bürger' and 'die Experten'. The antagonism is framed in terms of disconnection and failure — the experts are portrayed as ineffective and out of touch, while the citizens are positioned as the rightful holders of authority. The moral charge is moderate: the elite is criticized for incompetence and detachment, but not yet framed as a direct existential threat or conspiratorial force. This aligns with active blame but without dehumanization or eliminationist rhetoric.",3.0,
4,"Freue mich, morgen beim Bürgerdialog in meinem Wahlkreis über die geplante Radwegausbau zu sprechen. Alle sind herzlich eingeladen!","The post announces the speaker's participation in a civic dialogue event focused on a planned cycling path expansion. The rhetorical structure is informative and inclusive, inviting the public to engage in democratic discourse. There is no apparent opposition constructed between any groups, nor is there any critique of political elites or a generalized public. The tone is neutral and procedural, emphasizing participation and transparency in local governance.","1. 'Ich' (the speaker) — an individual actor. Confidence: HIGH. 2. 'Alle' (everyone) — a generalized group, but not framed as 'The People' in the populist sense. It refers broadly to the public in attendance. Confidence: HIGH. 3. 'Bürgerdialog' (citizens' dialogue) — a procedural event, not a class or institution. Confidence: HIGH. 4. 'Wahlkreis' (constituency) — a geographic or political area, not a group with moral or political significance. Confidence: HIGH.","'Alle' (everyone) is used in an inclusive way to invite public participation in the dialogue, but it does not constitute a broad ordinary majority in the populist sense. It is not framed as representing a unified, virtuous, or suffering citizenry. Rather, it is a procedural invitation to a civic event, not a rhetorical mobilization of 'The People'.",0.0,"No powerful group or class is targeted. The post focuses on a local political event and does not criticize any political elite or institutional power. The speaker is engaging in a standard political activity (public dialogue), not attacking or defending any elite.",0.0,"No opposition between any groups is constructed. The post is neutral and procedural, simply announcing a scheduled civic event. There is no framing of conflict or moral charge against any party.",0.0,
5,Die Lügenpresse und die korrupten Eliten wollen uns nicht die Wahrheit sagen. Aber das Volk lässt sich nicht länger täuschen!,"The post constructs a populist narrative by framing a deceptive media and corrupt elite as oppressing the truth from 'the people.' The rhetorical structure employs binary opposition — 'Die Lügenpresse' (the lying press) and 'die korrupten Eliten' (the corrupt elites) versus 'das Volk' (the people). It uses emotionally charged language to portray the elite as deliberately misleading and the people as truth-seeking and unwilling to be deceived. The phrase 'das Volk lässt sich nicht länger täuschen' (the people will no longer be deceived) signals a rejection of elite authority and a demand for transparency, invoking a moralized divide between truth-tellers and deceivers.",1. 'Die Lügenpresse' (the lying press) — a generalized class or institution representing the media. Confidence: HIGH. Alternative interpretation: could be interpreted as targeting specific news outlets rather than media broadly. 2. 'die korrupten Eliten' (the corrupt elites) — a generalized powerful outgroup. Confidence: HIGH. Alternative interpretation: may refer to a specific political or economic class but is framed broadly. 3. 'das Volk' (the people) — a generalized class representing the ordinary majority. Confidence: HIGH. Alternative interpretation: could be read as a national or ethnic group rather than a universal ordinary majority.,"'Das Volk' is invoked as a collective, unified group representing the ordinary citizenry. It implies a broad, homogeneous majority ('the people') and frames them as morally upright and truth-seeking ('wird nicht länger täuschen'). This is not a subgroup advocating for its own interests, but rather a representation of the universal ordinary majority. The People are portrayed as victims of deception and as capable of recognizing truth.",2.0,"'Die korrupten Eliten' (the corrupt elites) are presented as a powerful, unified outgroup. The text criticizes them collectively for their alleged dishonesty ('Lügen') and corruption ('korrupt'). There is no mention of specific individuals or policies — instead, the focus is on the elite class as a whole. The elite is depicted as intentionally deceptive and manipulative, with a moral charge implying culpability.",-3.0,"The post clearly constructs a strong opposition between 'das Volk' (the people) and 'die korrupten Eliten' (the corrupt elites). The elite is framed as morally culpable ('Lügen', 'korrupt'), deceitful, and actively trying to suppress the truth. The people are portrayed as truth-seekers who will no longer accept deception. The moral charge is high — the elite is not just wrong or inefficient, but actively malicious and corrupt. This places the antagonism in the range of active blame with strong moral condemnation.",4.0,
6,Kurzer Rückblick auf die Plenardebatte zur Energiepolitik. Konstruktiver Austausch mit Kolleginnen und Kollegen aller Fraktionen.,"The post offers a brief retrospective on a parliamentary debate regarding energy policy, emphasizing constructive dialogue among colleagues across different political factions. The rhetorical structure is neutral and descriptive, focusing on the procedural aspect of legislative discussion rather than advancing a moral or ideological argument. There is no explicit invocation of 'The People' or 'The Elite,' nor is there any framing of opposition between groups.","1. 'Kolleginnen und Kollegen aller Fraktionen' — generalized class referring to legislators from various political parties. Confidence: HIGH. 2. No individual actors or named elites are referenced. The post does not mention specific politicians, institutions, or power holders beyond the general assembly of lawmakers.","While 'Kolleginnen und Kollegen' implies a group of peers within the political system, it does not constitute 'The People' in the populist sense — i.e., a universal ordinary majority. The term refers to a professional or institutional cohort rather than a broader societal class. Thus, the invocation of a general public is absent.",0.0,"The post refers to members of parliament ('Kolleginnen und Kollegen') but does not frame them as a powerful outgroup or elite. The language is neutral and descriptive, indicating collaboration rather than conflict. No generalized elite is criticized or supported.",0.0,"There is no opposition constructed between any groups. The tone is neutral and procedural, highlighting cooperation rather than division. The absence of moral judgment or conflict between parties places this well within the 'no divide' category.",0.0,
7,Es reicht! Die politische Klasse in Berlin hat den Kontakt zur Realität der hart arbeitenden Bevölkerung komplett verloren.,"The post expresses frustration with the political elite in Berlin, claiming they have lost touch with the working population's reality. The rhetorical structure frames a clear divide between an ordinary, hardworking majority ('hart arbeitende Bevölkerung') and a detached political class ('politische Klasse in Berlin'). The language conveys a sense of disillusionment and moral indictment, positioning the political elite as out of touch and disconnected from the everyday struggles of ordinary citizens.","1. 'Die politische Klasse in Berlin' — a named institution/role representing a powerful political outgroup. Confidence: HIGH. Alternative reading: Could be interpreted as a specific political faction rather than a generalized elite class, but the phrasing suggests a broader grouping. 2. 'die hart arbeitende Bevölkerung' — a generalized class representing the broad ordinary majority. Confidence: HIGH. Alternative reading: Could refer specifically to workers in Berlin, but the term 'Bevölkerung' (population) suggests a wider group.","'Die hart arbeitende Bevölkerung' is invoked as a broad ordinary majority, representing the universal working citizenry. It is not a specific subgroup advocating for particular interests, but rather a generalized reference to the typical citizen whose reality is allegedly ignored by the elite. The People are framed as hardworking and real, contrasting sharply with the elite's disconnection.",2.0,"'Die politische Klasse in Berlin' is explicitly targeted as a powerful outgroup. The criticism is directed at the political establishment as a whole, accusing them of being out of touch with reality. This is not a critique of a single individual or a specific policy but a generalized attack on the political class’s disconnect from the public. The elite is portrayed as having completely lost contact with the ordinary citizen's life.",-3.0,"The post constructs a strong moralized opposition between the working population and the political elite. The elite is framed as not just unaware but actively disconnected and morally culpable for ignoring the public's needs. The phrase 'komplett verloren' (completely lost) intensifies the antagonism, suggesting a total breakdown in connection rather than mere incompetence. The tone implies that the elite has failed in its fundamental duty to represent the people, placing it in the higher range of active blame.",4.0,
8,Neue Studie zur Bildungsgerechtigkeit veröffentlicht. Wir brauchen mehr Investitionen in frühkindliche Förderung.,"The post announces the release of a new study on educational equity and advocates for increased investment in early childhood development. The rhetorical structure is informative and policy-oriented, focusing on evidence-based arguments for public funding rather than constructing a moral divide between groups.","1. 'Wir' (we) — an inclusive pronoun that likely refers to the speaker's group or organization, potentially representing broader societal stakeholders or policymakers. Confidence: LOW — could be interpreted as a specific institution, coalition, or collective voice, but not definitively as 'The People' as a universal majority. 2. No specific individuals or named elites are referenced. The focus is on institutional advocacy rather than targeting a powerful outgroup. Confidence: HIGH.","The use of 'Wir' suggests a collective stakeholder perspective, but it does not explicitly invoke 'The People' as a universal ordinary majority. The post does not frame a broad citizenry as virtuous or suffering, nor does it position this group in opposition to others. Instead, it presents a policy recommendation based on research findings.",0.0,"No powerful group or class is directly criticized or targeted. The post focuses on advocating for policy changes rather than attacking existing elites or institutions. The reference to a 'new study' implies scholarly or governmental authority, but not antagonistic framing.",0.0,"There is no constructed opposition between any groups. The post is purely advocacy-oriented, presenting a research-based argument for increased public investment in education. The tone is neutral and fact-driven, without moralized blame or divisiveness.",0.0,
9,"Während die Mächtigen in ihren Villen sitzen, kämpft der normale Bürger ums Überleben. Diese Ungerechtigkeit muss endlich enden!","The post constructs a stark populist narrative contrasting the idle luxury of the powerful ('die Mächtigen in ihren Villen') with the dire struggle of the average citizen ('der normale Bürger ums Überleben'). The rhetorical structure employs binary opposition and moral indignation, positioning the elite as detached and culpable while framing the common person as suffering and deserving of justice. The phrase 'Diese Ungerechtigkeit muss endlich enden!' serves as a mobilizing call for systemic change, emphasizing the urgency of addressing inequality.","1. 'die Mächtigen' / 'ihren Villen' — generalized class representing a powerful outgroup; likely refers to wealthy or politically influential individuals. Confidence: HIGH. 2. 'der normale Bürger' — generalized class representing the ordinary majority. Confidence: HIGH. 3. 'der normale Bürger ums Überleben' — further specifies the ordinary person’s hardship, reinforcing the ingroup. Alternative interpretation: Could be interpreted as a single individual's struggle, but context suggests a broader category. Confidence: HIGH.","'Der normale Bürger' is invoked as part of a broad ordinary majority — a representative figure for everyday people facing hardship. It is not a specific subgroup advocating for its own interests, but rather a universal descriptor for the typical citizen under stress. The framing positions 'The People' as victims of injustice, implying they are the rightful, normal majority suffering due to elite neglect.",2.0,"'Die Mächtigen' are portrayed as a powerful, detached class who benefit from the current system while others suffer. The reference to 'ihren Villen' implies wealth and privilege, suggesting a moral distance from the struggles of ordinary life. This represents a generalized elite, not a specific individual or institution, and is criticized for being complicit in societal inequity.",-3.0,"The text creates a strong moralized divide between the elite ('die Mächtigen') and the people ('der normale Bürger'). The elite are depicted as indifferent and exploitative, living comfortably while others struggle. The language conveys active blame and moral outrage, with phrases like 'kämpft ums Überleben' and 'Diese Ungerechtigkeit muss endlich enden!' indicating not just dissatisfaction but a sense of existential injustice. The tone suggests the elite are not just wrong but culpable and harmful, placing this in the higher range of active blame.",4.0,
10,"Dank an alle, die heute bei der Podiumsdiskussion zum Klimaschutz dabei waren. Gute Fragen aus dem Publikum!","The post expresses appreciation to participants in a climate protection discussion forum and acknowledges the quality of audience questions. The rhetorical structure is celebratory and inclusive, recognizing public engagement in a policy-related debate. There is no evident construction of opposition between groups, nor any invocation of 'The People' or 'The Elite.' The tone is neutral and procedural, focusing on the event's positive aspects rather than advancing a political narrative.","1. 'Alle, die heute bei der Podiumsdiskussion zum Klimaschutz dabei waren' — a generalized group of participants, but not framed as a unified 'The People' in populist terms. Confidence: HIGH. 2. 'Gute Fragen aus dem Publikum' — refers to the audience as a collective, but again not framed as a political majority or moral force. Confidence: HIGH. No named individuals or specific elites are targeted.","While 'alle' and 'Publikum' suggest a broad audience, they do not constitute a 'People' in the populist sense — i.e., a virtuous or universal ordinary majority. These references are situational and relate to event attendance, not a political or ideological grouping. No attempt is made to frame this group as representing the broader citizenry in a moral or oppositional way.",0.0,"No powerful group or class is targeted or criticized. The post does not reference politicians, institutions, or elites in a negative or antagonistic manner. The focus is on the discussion itself and its participants.",0.0,"No opposition between groups is constructed. The post is neutral and supportive of the event and its participants. There is no indication of conflict or division between people and elite, nor any moralized framing of either side.",0.0,
